,RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
32,Bad,68.0,133.0,7.0,44.0,39.0,2.0,2.0,100.0,21.879546809779367,6.0,8.0,39.0,4.0,67.0,0.0,2.0,2.0,15.0,73.0,5.0,2.0,0.0,50.0
33,Good,75.0,164.0,4.0,66.0,19.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,19.0,2.0,21.0,0.0,0.0,0.0,53.0,92.0,5.0,1.0,1.0,55.0
34,Bad,67.0,118.0,6.0,37.0,23.0,2.0,2.0,88.0,70.0,6.0,2.0,26.0,5.0,42.0,0.0,0.0,0.0,31.0,70.0,5.0,3.0,1.0,67.0
35,Good,88.0,153.0,33.0,92.0,13.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,14.0,0.0,7.0,0.0,0.0,0.0,1.0,68.5379727216367,1.0,2.4849056603773585,0.0,25.0
36,Bad,51.0,186.0,13.0,96.0,22.0,3.0,1.0,84.0,2.0,0.0,2.0,25.0,0.0,56.0,0.0,4.0,3.0,79.0,50.0,5.0,3.0,3.0,100.0
37,Bad,70.0,127.0,25.0,57.0,23.0,0.0,0.0,96.0,21.879546809779367,6.0,6.0,24.0,0.0,13.0,0.0,0.0,0.0,51.0,68.5379727216367,9.0,2.4849056603773585,1.0,67.0
38,Bad,65.0,116.0,10.0,37.0,14.0,1.0,1.0,93.0,72.0,6.0,2.0,15.0,1.0,13.0,0.0,2.0,2.0,52.0,68.5379727216367,3.0,1.0,2.0,56.0
39,Bad,78.0,21.0,4.0,13.0,11.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,11.0,5.0,64.0,0.0,3.0,3.0,7.0,68.5379727216367,3.0,2.4849056603773585,0.0,75.0
40,Good,86.0,318.0,18.0,90.0,13.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,13.0,0.0,62.0,0.0,0.0,0.0,0.0,44.0,0.0,2.0,1.092269595176572,50.0
41,Good,90.0,230.0,13.0,73.0,11.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,13.0,0.0,62.0,0.0,0.0,0.0,1.0,71.0,1.0,4.0,0.0,71.0
42,Bad,76.0,293.0,4.0,74.0,33.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,34.0,1.0,38.0,0.0,2.0,2.0,37.0,68.5379727216367,13.0,1.0,0.0,88.0
43,Bad,70.0,37.0,4.0,20.0,19.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,20.0,2.0,20.0,0.0,3.0,3.0,42.0,73.0,2.0,2.0,1.0,50.0
44,Bad,73.0,255.0,16.0,100.0,40.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,44.0,0.0,23.0,0.0,1.0,1.0,79.0,68.5379727216367,18.0,1.0,13.0,80.0
45,Bad,72.0,209.0,2.0,95.0,41.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,42.0,3.0,38.0,0.0,1.0,1.0,42.0,68.5379727216367,7.0,2.0,2.0,82.0
46,Good,83.0,398.0,3.0,118.0,29.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,29.0,2.0,31.0,0.0,3.0,3.0,22.0,87.0,6.0,3.0,0.0,69.0
47,Good,87.0,326.0,7.0,111.0,26.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,30.0,1.0,40.0,0.0,0.0,0.0,12.0,89.0,3.0,2.0,0.0,56.0
48,Bad,55.0,114.0,6.0,59.0,19.0,0.0,0.0,89.0,5.0,4.0,6.0,19.0,1.0,53.0,0.0,1.0,1.0,97.0,90.0,8.0,2.0,6.0,100.0
49,Bad,65.0,478.0,12.0,97.0,44.0,0.0,0.0,89.0,1.0,4.0,6.0,47.0,0.0,32.0,0.0,9.0,9.0,63.0,68.5379727216367,9.0,2.4849056603773585,6.0,60.0
50,Bad,78.0,197.0,23.0,91.0,15.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,17.0,0.0,41.0,0.0,5.0,5.0,57.0,32.0,2.0,2.0,1.092269595176572,67.0
51,Good,79.0,243.0,17.0,77.0,35.0,0.0,0.0,97.0,67.0,6.0,6.0,39.0,0.0,36.0,0.0,2.0,2.0,20.0,68.5379727216367,4.0,1.0,0.0,56.0
52,Bad,75.0,183.0,18.0,92.0,21.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,22.0,0.0,27.0,0.0,0.0,0.0,88.0,91.0,9.0,3.0,5.0,93.0
53,Bad,70.0,176.0,8.0,96.0,20.0,0.0,0.0,95.0,17.0,5.0,6.0,20.0,1.0,30.0,0.0,0.0,0.0,74.0,71.0,8.0,4.0,3.0,86.0
54,Bad,78.0,368.0,6.0,74.0,42.0,0.0,0.0,98.0,23.0,5.0,6.0,43.0,3.0,49.0,0.0,3.0,3.0,10.0,19.0,8.0,2.0,0.0,67.0
55,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
56,Bad,75.0,300.0,14.0,124.0,22.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,23.0,0.0,39.0,0.0,0.0,0.0,57.0,68.5379727216367,4.0,1.0,1.0,100.0
57,Bad,76.0,150.0,11.0,54.0,14.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,15.0,1.0,40.0,0.0,0.0,0.0,32.0,96.0,4.0,2.0,0.0,75.0
58,Bad,72.0,168.0,8.0,62.0,10.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,11.0,1.0,18.0,0.0,5.0,5.0,60.0,82.0,7.0,1.0,0.0,100.0
59,Bad,55.0,118.0,4.0,69.0,12.0,7.0,4.0,50.0,4.0,3.0,3.0,22.0,2.0,27.0,0.0,2.0,2.0,79.0,79.0,5.0,2.0,2.0,88.0
60,Bad,74.0,277.0,30.0,123.0,24.0,0.0,0.0,88.0,12.0,6.0,6.0,24.0,0.0,25.0,0.0,0.0,0.0,45.0,68.5379727216367,12.0,1.0,2.0,93.0
61,Bad,63.0,174.0,1.0,62.0,11.0,1.0,0.0,79.0,5.0,3.0,5.0,14.0,1.0,29.0,0.0,5.0,5.0,37.0,101.0,5.0,2.0,2.0,70.0
62,Bad,81.0,137.0,9.0,66.0,34.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,34.0,1.0,62.0,0.0,1.0,1.0,24.0,92.0,3.0,4.0,0.0,78.0
63,Good,81.0,126.0,9.0,78.0,18.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,18.0,1.0,83.0,0.0,0.0,0.0,0.0,64.0,1.0,3.0,1.092269595176572,80.0
64,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
65,Bad,59.0,243.0,11.0,79.0,38.0,1.0,1.0,76.0,7.0,4.0,6.0,43.0,1.0,50.0,0.0,1.0,1.0,63.0,78.0,7.0,4.0,4.0,86.0
66,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
67,Bad,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
68,Bad,66.0,176.0,11.0,81.0,43.0,0.0,0.0,98.0,3.0,4.0,6.0,44.0,1.0,39.0,0.0,2.0,2.0,36.0,64.0,3.0,4.0,1.0,47.0
69,Bad,72.0,169.0,5.0,60.0,21.0,1.0,1.0,96.0,30.0,6.0,3.0,23.0,1.0,52.0,0.0,4.0,4.0,66.0,82.0,4.0,3.0,1.0,78.0
70,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
71,Good,73.0,409.0,7.0,94.0,38.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,39.0,2.0,18.0,0.0,1.0,1.0,27.0,69.0,11.0,2.0,2.0,72.0
72,Bad,86.0,419.0,10.0,122.0,17.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,18.0,1.0,72.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,1.092269595176572,50.0
73,Bad,91.0,282.0,100.0,209.0,6.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,7.0,0.0,43.0,0.0,0.0,0.0,0.0,68.5379727216367,0.0,2.4849056603773585,1.092269595176572,0.0
74,Good,73.0,324.0,15.0,89.0,19.0,0.0,0.0,89.0,9.0,4.0,6.0,19.0,0.0,21.0,0.0,0.0,0.0,34.0,36.0,6.0,3.0,1.0,64.0
75,Good,78.0,134.0,2.0,63.0,35.0,0.0,0.0,93.0,32.0,6.0,6.0,40.0,3.0,40.0,0.0,0.0,0.0,22.0,55.0,5.0,4.0,0.0,60.0
76,Bad,65.0,155.0,8.0,37.0,20.0,1.0,1.0,95.0,8.0,4.0,6.0,21.0,1.0,38.0,0.0,2.0,2.0,49.0,87.0,5.0,5.0,1.0,67.0
77,Bad,75.0,70.0,1.0,38.0,8.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,9.0,1.0,78.0,0.0,4.0,3.0,17.0,68.5379727216367,2.0,1.0,1.092269595176572,100.0
78,Good,84.0,277.0,8.0,109.0,8.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,8.0,1.0,50.0,0.0,0.0,0.0,33.0,68.5379727216367,2.0,1.0,0.0,100.0
79,Good,75.0,294.0,12.0,94.0,39.0,0.0,0.0,98.0,21.879546809779367,6.0,6.0,40.0,0.0,35.0,0.0,2.0,2.0,17.0,68.5379727216367,6.0,5.0,0.0,61.0
80,Good,60.0,357.0,17.0,141.0,9.0,4.0,3.0,67.0,3.0,3.0,4.0,13.0,0.0,50.0,0.0,1.0,1.0,28.0,68.5379727216367,4.0,2.4849056603773585,1.092269595176572,100.0
81,Good,68.0,106.0,3.0,54.0,29.0,1.0,1.0,87.0,51.0,6.0,2.0,31.0,2.0,65.0,0.0,1.0,1.0,85.0,73.0,3.0,5.0,2.0,100.0
82,Bad,67.0,85.0,7.0,44.0,15.0,1.0,1.0,93.0,45.0,6.0,6.0,16.0,2.0,33.0,0.0,0.0,0.0,59.0,62.0,3.0,2.0,2.0,83.0
83,Bad,71.0,282.0,1.0,73.0,22.0,0.0,0.0,96.0,21.879546809779367,6.0,6.0,25.0,5.0,4.0,0.0,2.0,2.0,37.0,39.0,11.0,1.0,1.0,80.0
84,Bad,50.0,204.0,2.0,91.0,23.0,2.0,0.0,82.0,1.0,3.0,5.0,28.0,2.0,32.0,0.0,6.0,6.0,32.0,68.5379727216367,5.0,2.4849056603773585,0.0,67.0
85,Bad,62.0,151.0,19.0,99.0,5.0,1.0,1.0,80.0,16.0,6.0,6.0,6.0,0.0,80.0,0.0,0.0,0.0,40.0,75.0,1.0,2.0,0.0,100.0
86,Bad,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
87,Bad,70.0,333.0,2.0,75.0,16.0,0.0,0.0,100.0,21.879546809779367,5.0,8.0,20.0,8.0,30.0,0.0,0.0,0.0,78.0,92.0,6.0,2.0,4.0,67.0
88,Bad,58.0,307.0,6.0,79.0,14.0,1.0,0.0,73.0,18.0,6.0,5.0,15.0,2.0,53.0,0.0,0.0,0.0,81.0,75.0,3.0,3.0,2.0,86.0
89,Good,72.06044011763512,17.0,17.0,17.0,1.0,0.0,0.0,100.0,21.879546809779367,5.756006082108464,8.0,1.0,0.0,100.0,0.0,0.0,0.0,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
90,Good,88.0,188.0,13.0,82.0,20.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,20.0,0.0,40.0,0.0,0.0,0.0,17.0,82.0,2.0,2.0,0.0,50.0
91,Bad,65.0,107.0,7.0,48.0,40.0,0.0,0.0,100.0,21.879546809779367,6.0,8.0,43.0,4.0,42.0,0.0,2.0,2.0,80.0,86.0,5.0,2.0,4.0,70.0
92,Bad,74.0,169.0,5.0,78.0,26.0,0.0,0.0,96.0,76.0,6.0,6.0,27.0,2.0,37.0,0.0,1.0,1.0,37.0,91.0,5.0,4.0,0.0,75.0
93,Bad,78.0,282.0,2.0,95.0,23.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,24.0,1.0,13.0,0.0,1.0,1.0,22.0,68.5379727216367,4.0,1.0,1.0,43.0
94,Good,74.0,378.0,7.0,110.0,41.0,0.0,0.0,98.0,35.0,6.0,6.0,42.0,4.0,57.0,0.0,0.0,0.0,44.0,76.0,4.0,5.0,2.0,69.0
95,Good,77.0,311.0,11.0,103.0,39.0,0.0,0.0,98.0,21.879546809779367,6.0,6.0,42.0,1.0,36.0,0.0,0.0,0.0,46.0,73.0,5.0,4.0,1.0,69.0
96,Bad,67.0,299.0,2.0,79.0,25.0,0.0,0.0,89.0,15.0,5.0,6.0,27.0,3.0,37.0,0.0,12.0,11.0,63.0,63.0,13.0,3.0,4.0,94.0
97,Good,56.0,76.0,6.0,32.0,11.0,2.0,2.0,92.0,15.0,5.0,2.0,14.0,5.0,17.0,0.0,3.0,3.0,83.0,42.0,5.0,2.0,2.0,100.0
98,Good,88.0,211.0,20.0,103.0,13.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,14.0,0.0,57.0,2.4777188328912465,0.0,0.0,0.0,19.0,2.0,3.0,0.0,71.0
99,Bad,75.0,169.0,2.0,59.0,21.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,22.0,4.0,36.0,2.4777188328912465,4.0,4.0,43.0,112.0,4.0,6.0,0.0,83.0
100,Bad,66.0,127.0,2.0,69.0,17.0,0.0,0.0,94.0,16.0,6.0,6.0,18.0,4.0,33.0,2.4777188328912465,3.0,3.0,42.0,81.0,3.0,4.0,3.0,58.0
101,Good,81.0,220.0,2.0,91.0,20.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,23.0,2.0,39.0,2.4777188328912465,2.0,2.0,36.0,68.5379727216367,3.0,1.0,1.0,67.0
102,Bad,71.0,177.0,8.0,95.0,24.0,0.0,0.0,96.0,21.879546809779367,6.0,6.0,24.0,1.0,75.0,2.4777188328912465,1.0,1.0,87.0,87.0,4.0,2.0,3.0,100.0
103,Bad,69.0,112.0,2.0,43.0,5.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,7.0,2.0,43.0,2.4777188328912465,1.0,1.0,37.0,58.0,3.0,2.0,0.0,83.0
104,Good,74.0,150.0,13.0,91.0,13.0,1.0,1.0,93.0,35.0,6.0,2.0,14.0,0.0,29.0,2.4777188328912465,0.0,0.0,36.0,68.5379727216367,1.0,1.0,1.0,40.0
105,Bad,56.0,224.0,21.0,109.0,27.0,1.0,1.0,79.0,4.0,4.0,6.0,28.0,0.0,21.0,2.4777188328912465,1.0,1.0,101.0,79.0,15.0,1.0,11.0,94.0
106,Bad,65.0,243.0,9.0,89.0,23.0,0.0,0.0,83.0,2.0,4.0,6.0,23.0,1.0,52.0,2.4777188328912465,0.0,0.0,49.0,75.0,4.0,4.0,1.0,80.0
107,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
108,Good,92.0,152.0,15.0,154.0,14.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,15.0,0.0,47.0,2.4777188328912465,0.0,0.0,7.0,79.0,2.0,2.0,0.0,80.0
109,Good,91.0,150.0,3.0,108.0,10.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,11.0,1.0,64.0,2.4777188328912465,1.0,1.0,2.0,41.0,1.0,3.0,0.0,67.0
110,Good,73.0,183.0,6.0,90.0,19.0,1.0,1.0,100.0,21.879546809779367,7.0,8.0,19.0,1.0,32.0,2.4777188328912465,0.0,0.0,6.0,52.0,1.0,2.0,0.0,50.0
111,Bad,66.0,255.0,1.0,80.0,14.0,1.0,1.0,88.0,9.0,4.0,6.0,16.0,3.0,69.0,2.4777188328912465,4.0,4.0,58.0,60.0,3.0,4.0,1.0,88.0
112,Good,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
113,Bad,87.0,120.0,12.0,59.0,26.0,0.0,0.0,100.0,21.879546809779367,7.0,8.0,26.0,0.0,54.0,2.4777188328912465,1.0,1.0,1.0,68.5379727216367,2.0,1.0,0.0,75.0
114,Bad,64.0,246.0,16.0,106.0,5.0,3.0,3.0,88.0,57.0,6.0,3.0,8.0,0.0,88.0,2.4777188328912465,1.0,1.0,34.857718120805366,144.0,4.102110138960371,4.0,1.092269595176572,100.0
115,Bad,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
116,Bad,63.0,123.0,2.0,40.0,5.0,1.0,1.0,86.0,29.0,6.0,4.0,7.0,4.0,43.0,2.4777188328912465,0.0,0.0,77.0,68.5379727216367,3.0,1.0,1.0,100.0
117,Good,78.0,177.0,1.0,65.0,26.0,0.0,0.0,96.0,21.879546809779367,6.0,6.0,28.0,3.0,46.0,2.4777188328912465,1.0,1.0,4.0,72.0,4.0,5.0,0.0,64.0
118,Bad,72.06044011763512,200.76910299003322,9.588491540877317,78.77813797994125,21.12146692331071,0.5814000607841151,0.38476344848546246,92.35994326815926,21.879546809779367,5.756006082108464,6.3745314557795565,22.6354979232094,1.8638435822105157,34.618680984702664,2.4777188328912465,1.4559821699929085,1.3971228852193294,34.857718120805366,68.5379727216367,4.102110138960371,2.4849056603773585,1.092269595176572,66.44900030447579
119,Bad,75.0,212.0,23.0,105.0,11.0,0.0,0.0,82.0,21.0,6.0,6.0,11.0,0.0,45.0,2.4777188328912465,1.0,1.0,13.0,68.5379727216367,1.0,1.0,0.0,100.0
